sum_limit,n,domain,prop,pct
0,136,Functional limitation,0.8343558282208589,83.4
1,12,Functional limitation,0.0736196319018405,7.4
2,2,Functional limitation,0.012269938650306749,1.2
3,4,Functional limitation,0.024539877300613498,2.5
4,3,Functional limitation,0.018404907975460124,1.8
5,2,Functional limitation,0.012269938650306749,1.2
6,1,Functional limitation,0.006134969325153374,0.6
8,1,Functional limitation,0.006134969325153374,0.6
10,1,Functional limitation,0.006134969325153374,0.6
27,1,Functional limitation,0.006134969325153374,0.6
